name,study_hours,sleep_hours,attendance_pct,score,passed
Student_1,4.4,8.8,89.3,66.3,Yes
Student_2,2.4,5.2,94.6,58.1,Yes
Student_3,6.4,7.8,60.8,74.0,Yes
Student_4,2.7,6.2,81.0,51.4,Yes
Student_5,4.9,6.2,84.5,68.6,Yes
Student_6,4.3,6.8,91.4,65.2,Yes
Student_7,2.8,7.1,83.7,59.9,Yes
Student_8,2.5,5.3,98.0,53.4,Yes
Student_9,9.7,8.2,72.2,100.0,Yes
Student_10,5.0,5.5,79.8,64.9,Yes
Student_11,1.3,8.6,70.4,37.3,No
Student_12,5.7,7.2,67.4,83.3,Yes
Student_13,9.7,8.1,97.6,100.0,Yes
Student_14,9.3,5.4,67.8,100.0,Yes
Student_15,1.4,6.3,75.5,51.2,Yes
Student_16,4.2,6.1,81.7,61.8,Yes
Student_17,2.3,8.2,63.0,56.1,Yes
Student_18,7.6,8.1,63.0,95.4,Yes
Student_19,4.2,5.5,94.5,56.7,Yes
Student_20,1.6,6.2,73.0,54.3,Yes
Student_21,7.6,7.6,95.5,88.7,Yes
Student_22,7.4,8.0,82.5,91.9,Yes
Student_23,7.9,7.0,80.9,90.4,Yes
Student_24,2.0,5.1,85.5,49.4,Yes
Student_25,3.8,7.0,96.3,65.2,Yes
Student_26,7.8,5.9,63.1,73.4,Yes
Student_27,3.6,5.6,97.2,69.6,Yes
Student_28,8.8,8.2,67.5,100.0,Yes
Student_29,9.0,7.2,92.3,100.0,Yes
Student_30,2.0,5.9,77.1,54.3,Yes
Student_31,8.4,8.4,60.3,72.4,Yes
Student_32,3.0,5.5,73.5,56.8,Yes
Student_33,9.5,6.3,80.8,95.8,Yes
Student_34,9.7,8.8,70.1,100.0,Yes
Student_35,5.5,6.2,71.4,73.1,Yes
Student_36,5.5,5.2,71.1,66.8,Yes
Student_37,9.2,6.0,65.8,98.9,Yes
Student_38,3.2,7.7,90.5,64.9,Yes
Student_39,3.1,7.9,74.7,71.2,Yes
Student_40,5.8,5.4,93.4,90.6,Yes
Student_41,3.9,5.7,61.6,70.8,Yes
Student_42,1.1,7.0,69.1,49.4,Yes
Student_43,6.8,5.7,87.6,90.2,Yes
Student_44,2.2,6.4,64.5,46.3,Yes
Student_45,9.3,8.5,70.3,100.0,Yes
Student_46,6.0,7.1,69.7,81.3,Yes
Student_47,1.8,8.6,96.0,47.1,Yes
Student_48,4.1,7.9,95.9,82.8,Yes
Student_49,9.0,8.1,85.7,100.0,Yes
Student_50,1.1,5.4,86.5,51.2,Yes
